image,height,width,method,threshold_low,threshold_high,threshold_main,black_pixels,white_pixels,fuzzy_pixels,defocus_pixels,black_ratio,white_ratio,fuzzy_ratio,defocus_ratio
plain particle/颗粒/B22009S00_004_2_20250508110815913_000105_2_2.jpg,1312,1312,adaptive,111,149,130,1100795,45056,575493,558388,0.639497,0.026175,0.334328,0.324391
plain particle/颗粒/B22009S00_004_3_20221208145046820_000014_0_2.jpg,1312,1296,adaptive,74,114,94,262883,379479,1057990,1042443,0.154605,0.223177,0.622218,0.613075
plain particle/颗粒/B22009S00_004_3_20240307144050868_00001d_1_2.jpg,1312,1312,adaptive,105,137,121,1382471,198385,140488,94505,0.803135,0.11525,0.081615,0.054902
scratch/划伤/B22009S00_004_1_20240131160500720_000012_1_0.jpg,1296,1312,adaptive,94,130,112,770298,744377,185677,130034,0.453023,0.437778,0.109199,0.076475
scratch/划伤/B22009S00_004_1_20240219150326765_00000c_1_2_1.jpg,1312,1312,adaptive,103,135,119,1223038,133883,364423,342340,0.710513,0.077778,0.211708,0.198879
scratch/划伤/B22009S00_004_1_20240219151713111_000017_3_2_1.jpg,1312,1296,adaptive,153,189,171,599101,623161,478090,453313,0.352339,0.366489,0.281171,0.2666
scratch/划伤/B22009S00_004_1_20240929145421978_000020_1_0.jpg,1296,1312,adaptive,133,171,152,759235,793588,147529,134997,0.446516,0.46672,0.086764,0.079394
scratch/划伤/B22009S00_004_2_20240226162736584_000001_1_1_1.jpg,1312,1312,adaptive,131,165,148,1364865,253840,102639,82331,0.792907,0.147466,0.059627,0.047829
scratch/划伤/B22009S00_004_2_20240226162943592_000002_1_1_1.jpg,1312,1312,adaptive,132,164,148,1378886,251985,90473,69687,0.801052,0.146389,0.05256,0.040484
scratch/划伤/B22009S00_004_3_20231215154640671_000021_0_2.jpg,1312,1296,adaptive,105,133,119,277257,1188963,234132,153944,0.163059,0.699245,0.137696,0.090537
scratch/划伤/B22009S00_004_3_20231224154139346_00001f_0_2_1.jpg,1312,1296,adaptive,165,189,177,225038,1264591,210723,194039,0.132348,0.743723,0.123929,0.114117
scratch/划伤/B22009S00_004_3_20240130153804133_000016_1_3.jpg,1296,1312,adaptive,131,171,151,985261,307252,407839,390840,0.579445,0.180699,0.239856,0.229858
scratch/划伤/B22009S00_004_4_20220708103122423_00000a_3_3.jpg,691,1066,adaptive,122,150,136,364036,359704,12866,0,0.494207,0.488326,0.017467,0.0
scratch/划痕/B22009S00_004_1_20221101141018541_000004_0_1.jpg,1312,1296,adaptive,126,166,146,324791,41878,1333683,1314708,0.191014,0.024629,0.784357,0.773198
scratch/划痕/B22009S00_004_1_20221230181159460_000004_1_1.jpg,927,1082,adaptive,202,218,210,509946,472073,20995,0,0.508414,0.470654,0.020932,0.0
scratch/划痕/B22009S00_004_1_20230424101416657_000002_0_2.jpg,1312,1296,adaptive,46,64,55,761003,892165,47184,32866,0.447556,0.524694,0.02775,0.019329
scratch/划痕/B22009S00_004_1_20230424102712572_000005_1_1.jpg,1312,1312,adaptive,167,195,181,1190008,514352,16984,0,0.691325,0.298808,0.009867,0.0
scratch/划痕/B22009S00_004_1_20230520154439371_00000a_1_2.jpg,1312,1312,adaptive,163,179,171,1613958,78564,28822,23155,0.937615,0.045641,0.016744,0.013452
scratch/划痕/B22009S00_004_2_20221101155127069_00000f_3_0.jpg,1296,1296,adaptive,94,126,110,1208174,100102,371340,333292,0.719316,0.059598,0.221086,0.198433
scratch/划痕/B22009S00_004_2_20230424101547469_000004_3_2.jpg,1312,1296,adaptive,113,129,121,1471781,42104,186467,181124,0.865574,0.024762,0.109664,0.106521
scratch/划痕/B22009S00_004_2_20240228173954501_000004_2_2_1.jpg,1312,1312,adaptive,146,184,165,833855,118714,768775,756427,0.484421,0.068966,0.446613,0.43944
scratch/划痕/B22009S00_004_3_20221109182837791_000004_0_0.jpg,706,1091,adaptive,191,209,200,327306,430612,12328,0,0.424937,0.559058,0.016005,0.0
scratch/划痕/B22009S00_004_3_20221206145033432_000001_0_1.jpg,722,1091,adaptive,187,207,197,393473,380935,13294,0,0.49952,0.483603,0.016877,0.0
